"drug","patient_count"
"Filgrastim","49"
"NS (Mini Bag Plus)","49"
"Lidocaine 1%/Epinephrine 1:100,000","49"
"Isosorbide Mononitrate (Extended Release)","48"
"Etoposide","48"
"Doxycycline Hyclate","47"
"0.83% Sodium Chloride","47"
"Latanoprost 0.005% Ophth. Soln.","47"
"Esmolol","46"
"Cyclobenzaprine","46"
"Rocuronium","46"
"ClonazePAM","46"
"Alteplase","45"
"Ascorbic Acid","45"
"GuaiFENesin-Dextromethorphan","45"
"Morphine Sulfate (Concentrated Oral Soln)","44"
"D5LR","43"
"Fluticasone-Salmeterol Diskus (100/50)","43"
"Albumin 5% (25g / 500mL)","42"
"Fosaprepitant","42"
"Clindamycin","41"
"Acyclovir","41"
"Methadone","41"
"Aspirin EC","40"
"Sodium CITRATE 4%","40"
"Dextrose 10% in Water (D10W)","40"
"Albumin 5%","39"
"Piperacillin-Tazobactam Na","39"
"Captopril","38"
"Mouth Care Oral Rinse","38"
"Enoxaparin (Treatment)","38"
"Norepinephrine","38"
"EPINEPHrine","38"
"Codeine Sulfate","38"
"Spironolactone","37"
"NS Syringe (Intrapleural)","37"
"ALPRAZolam","37"
"Succinylcholine","37"
"Albuterol-Ipratropium","37"
"Escitalopram Oxalate","36"
"Pregabalin","36"
"Phenytoin Sodium","36"
"Micafungin","36"
"Calcium Gluconate sliding scale (Critical Care-Ionized calcium)","36"
"Oxycodone SR (OxyconTIN)","35"
"Morphine Sulfate (Oral Solution) 2 mg/mL","35"
"Methylnaltrexone","35"
"MetFORMIN (Glucophage)","35"
"Acetaminophen-Caff-Butalbital","34"
"Carvedilol","33"
"Cosyntropin","33"
"Racepinephrine","33"
"Cefpodoxime Proxetil","32"
"HydrOXYzine","32"
"Dexamethasone Sod Phosphate","32"
"Sucralfate","32"
"Rivaroxaban","32"
"Prismasate (B32 K2)","32"
"Promethazine","31"
"Filgrastim-sndz","31"
"Olanzapine (Disintegrating Tablet)","31"
"Albumin 25%","31"
"Iohexol 240 (Omnipaque 240)","30"
"0.9% Sodium Chloride (EXCEL BAG)","30"
"Fleet Enema","30"
"Nitroprusside Sodium","30"
"Linezolid","30"
"Sodium Chloride 3% (Hypertonic)","30"
"Epidural Bag","29"
"NS (0.9% NaCl)","29"
"D10W","29"
"OxyCODONE SR (OxyCONTIN)","29"
"Montelukast","29"
"Quetiapine Fumarate","29"
"sevelamer CARBONATE","29"
"Megestrol Acetate","29"
"AcetaZOLamide Sodium","28"
"Oxycodone-Acetaminophen (5mg-325mg)","28"
"Dronabinol","28"
"Pamidronate","28"
"Potassium Citrate","28"
"Clonazepam","27"
"Chlorothiazide Sodium","27"
"OxyCODONE Liquid","27"
"Citrate Dextrose 3% (ACD-A) CRRT","27"
"Potassium Chl 40 mEq / 1000 mL D5 1/2 NS","27"
"Desmopressin Acetate","27"
"Artificial Tears GEL 1%","27"
"Heparin (CRRT Machine Priming)","27"
"Potassium Chl 40 mEq / 1000 mL NS","26"
"DOPamine","26"
"Colchicine","26"
"Neomycin-Polymyxin-Bacitracin","26"
"Adenosine","26"
"BuPROPion (Sustained Release)","26"
"Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL","26"
"Multivitamin IV","25"
"Fexofenadine","25"
"Aquaphor Ointment","25"
"Gastroview (Diatrizoate Meglumine & Sodium)","25"
"Nystatin","25"
"HYDROmorphone P.F.","25"
"LevoFLOXacin","25"
"Cepastat (Phenol) Lozenge","24"
"Atovaquone Suspension","24"
"Syringe (Sterile Water)","24"
"Oxymetazoline","24"
"Sulfamethoxazole-Trimethoprim","24"
"Xopenex Neb","24"
"CloNIDine","24"
"Erythromycin 0.5% Ophth Oint","24"
"DOBUTamine","23"
"0.9% NaCl (EXCEL/ViaFLO BAG)","23"
"Fludrocortisone Acetate","23"
"Tranexamic Acid","23"
"Metolazone","23"
"Citalopram Hydrobromide","23"
"Fleet Enema (Saline)","23"
"Vitamin D3 (Cholecalciferol)","22"
"Isosorbide Dinitrate","22"
"Fluoxetine","22"
"Brimonidine Tartrate 0.15% Ophth.","22"
"CISplatin","21"
"Atropine Sulfate","21"
"Fish Oil (Omega 3)","21"
"Calcium Replacement (Oncology)","21"
"Soln.","21"
"Paroxetine","21"
"Dexamethasone Sod Phos","21"
"Valsartan","21"
"Valproate Sodium","21"
"Potassium Chl 20 mEq / 1000 mL D5NS","20"
"Prismasate (B22 K4)","20"
"Loratadine","20"
"Cetirizine","20"
"Verapamil","20"
"Fleet Enema (Mineral Oil)","20"
"Heparin Flush (1000 units/mL)","20"
"Mannitol","19"
"Gentamicin","19"
"Ampicillin Sodium","19"
"Nephrocaps","19"
"Argatroban","19"
"Valproic Acid","19"
"Tizanidine","18"
"Etomidate","18"
"Donepezil","18"
"Amitriptyline","18"
"CARVedilol","18"
"Lidocaine 1%/Epinephrine 1:100000","18"
"Timolol Maleate 0.5%","18"
"BusPIRone","18"
"Ketamine","18"
"Lidocaine 5% Ointment","17"
"Aztreonam","17"
"Meperidine","17"
"Phenytoin Sodium Extended","17"
"Alprazolam","17"
"PACLItaxel (TaxOL)","17"
"Hydrocodone-Acetaminophen","17"
"Nicotine Lozenge","17"
"Venlafaxine XR","17"
"Olanzapine","17"
"Divalproex (DELayed Release)","16"
"GuaiFENesin-CODEINE Phosphate","16"
"Heparin Dwell (1000 Units/mL)","16"
"Calcitriol","16"
"Diazepam - CIWA protocol","16"
"300 mcg Vial","16"
"Alendronate Sodium","16"
"GlipiZIDE","16"
"FLUoxetine","16"
"Tuberculin Protein","16"
"Dornase alfa","16"
"BuPROPion","16"
"Cephalexin","16"
"Tobramycin Sulfate","16"
"DULoxetine DR","15"
"MoviPrep","15"
"Naproxen","15"
"Albuterol MDI","15"
"AcetaZOLamide","15"
"ChlorproMAZINE","15"
"Acetaminophen w/Codeine","15"
"Loperamide","15"
"Clotrimazole","15"
"Calcitonin Salmon","15"
"Ezetimibe","15"
"Caphosol","15"
"Lidocaine 2%","15"
"Octreotide Acetate","15"
"Sodium Chloride 0.9%  Flush for CRRT","14"
"Nystatin Cream","14"
"Atropine Sulfate 1%","14"
"Doxazosin","14"
"Pantoprazole (Granules for DR Suspension)","14"
"D5W (EXCEL BAG)","14"
"Budesonide","14"
"Isotonic Sodium Chloride","14"
"OxycoDONE-Acetaminophen Elixir","14"
"Salmeterol Xinafoate Diskus (50 mcg)","14"
"LACOSamide","14"
"NIFEdipine CR","14"
"Mucinex","13"
"Diphenoxylate-Atropine","13"
"Sodium Glycerophosphate","13"
"MethylPHENIDATE (Ritalin)","13"
"Xopenex","13"
"Voriconazole","13"
"Hydrocortisone","13"
"Montelukast Sodium","13"
"Phenytoin (Suspension)","12"
"0.9% Sodium Chl (Yellow CADD)","12"
"Amino Acids 5%-Dextrose 15%","12"
"Calcium Acetate","12"
"CloniDINE","12"
"Codeine Phosphate","12"
"Creon 12","12"
"Duloxetine","12"
"Erythromycin","12"
"Fluticasone-Salmeterol (250/50) ","12"
"Mannitol 20 %","12"
"OSELTAMivir","12"
"Oxybutynin","12"
"PrednisoLONE Acetate 1% Ophth. Susp.","12"
"ValACYclovir","12"
"Click Change <--- to Choose a Base Solution","11"
"Calcium Chloride","11"
"Sulfameth/Trimethoprim Suspension","11"
"Lidocaine Jelly 2%","11"
"PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7)","11"
"Vecuronium Bromide","11"
"Terazosin","11"
"Artificial Tears Preserv. Free","11"
"Phenazopyridine","11"
"Bumetanide","11"
"Sotalol","11"
"Verapamil SR","11"
"Carbidopa-Levodopa (25-100)","11"
"Nortriptyline","11"
"Hydroxychloroquine Sulfate","11"
"Mycophenolate Mofetil","11"
"Famotidine (IV)","11"
"MetOLazone","11"
"Psyllium Powder","11"
"OxyCODONE--Acetaminophen (5mg-325mg)","11"
"GlipiZIDE XL","11"
"Tacrolimus","11"
"Mineral Oil","10"
"Bengay Cream","10"
"Morphine Infusion – Comfort Care Guidelines","10"
"PARoxetine","10"
"HYDROmorphone-HP","10"
"CRRT","10"
"Neostigmine","10"
"Zinc Sulfate","10"
"Fosphenytoin","10"
"Venlafaxine","10"
"LeVETiracetam Oral Solution","10"
"LevETIRAcetam Oral Solution","10"
"Hydrocortisone Cream 1%","10"
"Multivitamins W/minerals Chewable","10"
"Phenytoin","10"
"Talc (Sterile)","10"
"Propranolol","10"
"Dextromethorphan-Guaifenesin (Sugar Free)","10"
"Nitroglycerin Ointment  2%","10"
"Epoprostenol (Veletri)","10"
"Lactulose Enema","10"
"Clotrimazole Cream","10"
"Oseltamivir","10"
"PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose)","10"
"PHENObarbital","9"
"OxycoDONE (Concentrated Oral Soln)","9"
"Nafcillin","9"
"Albumin 5% ","9"
"Hydrocortisone (Rectal) 2.5% Cream","9"
"Rifaximin","9"
"Ranitidine (Liquid)","9"
"Methocarbamol","9"
"Golytely","9"
"Symbicort","9"
"Triamcinolone Acetonide 0.1% Ointment","9"
"Baclofen","9"
"Fondaparinux Sodium","9"
"Potassium Chl 40 mEq / 1000 mL D5NS","9"
"Ursodiol","9"
"Aluminum Hydroxide Suspension","9"
"Enalapril Maleate","9"
"Lidocaine 0.5%","9"
"GammaGARD Liquid","9"
"Magnesium Sulfate Replacement (Oncology)","9"
"Meclizine","9"
"Chlorthalidone","9"
"Hydrocerin","9"
"Fenofibrate","9"
"Pyridoxine","9"
"Flumazenil","9"
"Epinephrine 1:1000","9"
"Benztropine Mesylate","9"
"Acetylcysteine Inhaled – For interventional pulmonary use only","8"
"Dextromethorphan Polistirex","8"
"Mupirocin Ointment 2%","8"
"Maalox/Lidocaine","8"
"Mannitol 20%","8"
"Topiramate (Topamax)","8"
"Tolterodine","8"
"Tenofovir Disoproxil (Viread)","8"
"Chlorpheniramine-Hydrocodone","8"
"Syringe (SW)","8"
"Syringe (Iso-Osmotic Dextrose)","8"
"Milrinone","8"
"Heparin (Hemodialysis)","8"
"*NF* Erlotinib","8"
"Sodium Chloride 0.9%  (Mini Bag Plus)","8"
"Vancomycin – Pharmacy to Dose (ID Consult ONLY)","8"
"Enalaprilat","8"
"RisperiDONE","8"
"Emtricitabine-Tenofovir (Truvada)","8"
"Ferric Gluconate","8"
"Psyllium Wafer","8"
"Zoledronic Acid","7"
"Ambisome","7"
"Protamine Sulfate","7"
"Rasburicase","7"
"Ibuprofen Suspension","7"
"Alteplase 1mg/1mL ( Clearance ie. Temp TLCL )","7"
"LamoTRIgine","7"
"Vitamin B Complex","7"
"Nitrofurantoin Monohyd (MacroBID)","7"
"NIFEdipine","7"
"Gelclair","7"
"Iohexol 240","7"
"INV-Thiamine","7"
"Dabigatran Etexilate","7"
"Vitamin D2 (Ergocalciferol)","7"
"Nadolol","7"
"Dorzolamide 2% Ophth. Soln.","7"
"MetFORMIN XR (Glucophage XR)","7"
"Potassium Chl 20 mEq / 1000 mL D5LR","7"
"Lidocaine 0.5%/Epinephrine","7"
"Daptomycin","7"
"Zonisamide","7"
"Bacitracin Ointment","7"
"Isosorbide Mononitrate","7"
"Divalproex (EXTended Release)","7"
"Pancrelipase 5000","7"
"Clonidine Patch 0.1 mg/24 hr","6"
"Miconazole 2% Cream","6"
"Gentamicin Sulfate","6"
"Syringe (Chemo)","6"
"Epoetin Alfa","6"
"Ropivacaine 0.2%","6"
"ARIPiprazole","6"
"Pramipexole","6"
"Bicitra","6"
"Vitamin E","6"
"budesonide","6"
"Bupivacaine 0.05%","6"
"osimertinib","6"
"Calcium Carbonate Suspension","6"
"Carbamide Peroxide 6.5%","6"
"Dextromethorphan Poly Complex","6"
"Mupirocin Nasal Ointment 2%","6"
"Triamcinolone Acetonide 0.1% Cream","6"
"Triamcinolone Acetonide 0.025% Cream","6"
"Clobetasol Propionate 0.05% Cream","6"
"Lidocaine 2%/Epi 1:100,000","6"
"CeftazIDIME","5"
"PEMEtrexed","5"
"Amoxicillin","5"
"Glycerin Supps","5"
"Pemetrexed","5"
"Diclofenac Topical Gel 1%","5"
"Hydrocortisone Cream 2.5%","5"
"RiTONAvir","5"
"Quinapril","5"
"Ropinirole","5"
"Temazepam","5"
"Dapsone","5"
"0.9 % Sodium Chloride","5"
"Sacubitril-Valsartan (24mg-26mg)","5"
"Efavirenz","5"
"Memantine","5"
"Capsaicin 0.025%","5"
"Mesalamine DR","5"
"Blue CADD Cassette","5"
"Multiple Vitamins Liq.","5"
"Anastrozole","5"
"Methotrexate","5"
"Clozapine","5"
"Ampicillin","5"
"Ipratropium-Albuterol Inhalation Spray","5"
"LaMOTrigine","5"
"Lidocaine-Prilocaine","5"
"Lithium Carbonate","5"
"Vitamin A","5"
"Dorzolamide 2%/Timolol 0.5% Ophth.","5"
"Bupivacaine 0.5%","5"
"BuPROPion XL (Once Daily)","5"
"NS (Irrigation Bottle)","5"
"Vancomycin Enema","5"
"Psyllium","5"
"DULoxetine","5"
"Phenytoin Infatab","5"
"Potassium Bicarbonate Eff","5"
"LevETIRAcetam - STAT Dose","4"
"TiCAGRELOR","4"
"Cholestyramine","4"
"Cilostazol","4"
"crizotinib","4"
"Methimazole","4"
"Lidocaine 4%","4"
"Prazosin","4"
"Prasugrel","4"
"Atropine Sulfate Ophth 1%","4"
"0.75% Sodium Chloride","4"
"Atazanavir","4"
"Propranolol LA","4"
"Pseudoephedrine","4"
"Hydromorphone (Oral Solution) 1 mg/1 mL","4"
"Sumatriptan Succinate","4"
"MethylPREDNISolone Na Suc","4"
"QUEtiapine extended-release","4"
"Bismuth Subsalicylate","4"
"Hydrocortisone Acetate Suppository","4"
"Rifampin","4"
"COVID-19 Vaccine (Moderna)","4"
"rifAXIMin","4"
"Hespan","4"
"Risperidone","4"
"Aprepitant","4"
"Angiotensin II","4"
"Divalproex Sod. Sprinkles","4"
"Mupirocin Cream 2%","4"
"5% Dextrose (Non DEHP)","4"
"Amoxicillin-Clavulanate Susp.","4"
"OXcarbazepine","4"
"Oxcarbazepine","4"
"Oxazepam","4"
"Metoprolol","4"
"Amino Acids 4.25%-Dextrose 5%","4"
"Sodium Zirconium Cyclosilicate","4"
"Acetylcysteine (IV)","4"
"Sulfameth/Trimethoprim","4"
"VinORELbine (Navelbine)","4"
"Carbamazepine","4"
"LaMIVudine","4"
"PNEUMOcoccal Vac Polyvalent","4"
"Nystatin Ointment","4"
"NS (Syringe)","4"
"Fentanyl","4"
"Nitroglycerin Patch","4"
"guaiFENesin","4"
"Levalbuterol HCl","4"
"Tamoxifen Citrate","4"
"NIFEdipine (Extended Release)","4"
"Gemfibrozil","4"
"Gemcitabine","4"
"Flecainide Acetate","3"
"Felodipine","3"
"Febuxostat","3"
"Fat Emulsion 20%","3"
"Fondaparinux","3"
"Esomeprazole sodium","3"
"Ertapenem Sodium","3"
"erlotinib","3"
"Eptifibatide","3"
"Epoetin alfa-epbx (Retacrit)","3"
"GuaiFENesin-Dextromethorphan (Sugar Free)","3"
"Eplerenone","3"
"EPINEPHrine (EpiPEN)","3"
"Entecavir","3"
"HYDROcodone-Acetaminophen (5mg-325mg)","3"
"Imipenem-Cilastatin","3"
"Indomethacin","3"
"Doxercalciferol","3"
"Insulin Glargine  (CVICU Protocol)","3"
"Dolutegravir","3"
"Docusate ","3"
"Docusate","3"
"DOCEtaxel (TaxoTERE)","3"
"Isoniazid","3"
"Leucovorin Calcium","3"
"Lidocaine","3"
"Lidocaine 1% P.F.","3"
"Darunavir","3"
"Lovastatin","3"
"Magnesium Sulfate (Latex Free)","3"
"Magnesium Sulfate Replacement (Critical Care and Oncology)","3"
"Methadone Inj","3"
"COVID-19 Vaccine (PFIZER)","3"
"Collagenase Ointment","3"
"Clonidine Patch 0.3 mg/24 hr","3"
"Minocycline","3"
"Modafinil","3"
"Morphine ","3"
"Clobazam","3"
"Multivitamins W/minerals Liquid","3"
"Niacin","3"
"Nitrofurantoin (Macrodantin)","3"
"NORepinephrine (in NS)","3"
"Norepinephrine Bitartrate","3"
"Cefepime Graded Challenge","3"
"NS Epidural Bag","3"
"Nystatin-Triamcinolone Cream","3"
"Carbidopa-Levodopa (10-100)","3"
"capmatinib","3"
"Oseltamivir Phosphate","3"
"Buprenorphine-Naloxone Tablet (8mg-2mg)","3"
"Buprenorphine-Naloxone Film (8mg-2mg)","3"
"Paricalcitol","3"
"Penicillin G Potassium","3"
"Phentolamine Mesylate","3"
"Bottle","3"
"Phoxillum (B22 K4)","3"
"PNEUMOcoccal 13-valent conjugate vaccine","3"
"Posaconazole","3"
"Benzocaine 20% Spray","3"
"pramipexole","3"
"PrimiDONE","3"
"Promethazine HCl","3"
"Ramipril","3"
"Ranolazine ER","3"
"RifAMPin","3"
"rOPINIRole","3"
"Anoro Ellipta","3"
"Sildenafil","3"
"Sodium Acetate","3"
"Amphetamine-Dextroamphetamine","3"
"AMP","3"
"Amikacin","3"
"Syringe (Inhalation)","3"
"Tarceva","3"
"Timolol Maleate 0.25%","3"
"Aerogen Syringe (SW)","3"
"Aerogen Syringe (NS)","3"
"Trace Elements (Tralement)","3"
"acetylcysteine","3"
"23.4% Sodium Chloride","3"
"Vitamin B Complex w/C","3"
"0.82% Sodium Chloride","3"
"Witch Hazel 50% Pad","3"
"Peripheral Nerve Infusion Bag","2"
"Hepatitis B Vaccine","2"
"Lidocaine 2% P.f.","2"
"RISperidone","2"
"Bacitracin/Polymyxin B Sulfate Opht. Oint","2"
"Mirapex","2"
"Phenaseptic Throat Spray","2"
"Filgrastim (Neupogen)","2"
"irbesartan","2"
"Caspofungin","2"
"Albumin 5","2"
"*NF* Ertapenem Sodium","2"
"DICYCLOMine","2"
"Chlorothiazide","2"
"IPRATROPIUM BROMIDE NEB","2"
"NS Epidural Bag (0.9% NaCl)","2"
"RomiPLOstim","2"
"Dextrose 5%  (*Glass Bottle*)","2"
"Heparin Flush CVL  (100 units/ml)","2"
"Nicotine Polacrilex","2"
"Acetaminophen w/Codeine Elixir","2"
"Clindamycin 1% Solution","2"
"Ciprofloxacin 0.3% Ophth Soln","2"
"Theophylline ER","2"
"Theophylline SR","2"
"Heparin Flush (5000 Units/mL)","2"
"Thrombin","2"
"Thyroid","2"
"Sacubitril-Valsartan (49mg-51mg)","2"
"Caffeine-Sodium Benzoate","2"
"brimonidine","2"
"Nimodipine","2"
"Ciprofloxacin","2"
"Ketamine (For Intubation)","2"
"tiZANidine","2"
"Ferrous GLUCONATE","2"
"Tobramycin-Dexamethasone Ophth Susp","2"
"Tobramycin - Dosing by pharmacy","2"
"Tobramycin Inhalation Soln","2"
"Acyclovir Ointment 5%","2"
"Cinacalcet","2"
"anastrozole","2"
"Sevelamer","2"
"Ethambutol HCl","2"
"Buprenorphine-Naloxone Film (4mg-1mg)","2"
"Propafenone HCl","2"
"Celecoxib","2"
"Trace Elements","2"
"Propofol 1000mg/100mL 100mL VIAL","2"
"Silver Sulfadiazine 1% Cream","2"
"Propoxyphene Nap.-Apap (N-100)","2"
"Naphazoline-Pheniramine Ophth. Solution","2"
"Dronedarone","2"
"Acetylcysteine Inhaled - For interventional pulmonary use only","2"
"Sirolimus","2"
"Letrozole","2"
"Provigil","2"
"Trelegy Ellipta","2"
"Phenytoin Sodium (IV)","2"
"LamiVUDine","2"
"Dexam","2"
"olmesartan","2"
"Triamterene-HCTZ (37.5/25)","2"
"Triamterene-Hydrochlorothiazide","2"
"bimatoprost","2"
"Tricor","2"
"Trifluoperazine HCl","2"
"Trintellix","2"
"Xopenex HFA","2"
"Sodium Chloride ","2"
"Tuberculin PPD","2"
"Ferrous Sulfate (Liquid)","2"
"Pulmicort","2"
"Epidural Infusion Bag in NS","2"
"Heparin (via Anti-Xa Monitoring)","2"
"Heparin (Impella)","2"
"Aminocaproic Acid","2"
"Pilocarpine 4%","2"
"Heparin (IABP)","2"
"Pioglitazone","2"
"Bictegrav-Emtricit-Tenofov Ala","2"
"Clevidipine","2"
"cilostazol","2"
"Amantadine Syrup","2"
"Heparin (1000 Units / 500 mL)","2"
"Clopidogrel Bisulfate","2"
"Alvimopan","2"
"LeVETiracetam Solution","2"
"Betamethasone Dipro 0.05% Cream","2"
"Mesalamine (Rectal)","2"
"Sorbitol","2"
"Hydrocortisone Cream 0.5%","2"
"Moxifloxacin","2"
"Opium Tincture (morphine 10 mg/mL)","2"
"quiniDINE Sulfate","2"
"Lidocai","2"
"Midodrine 20 mg","2"
"Raltegravir","2"
"Sugammadex","2"
"Posaconazole Delayed Release Tablet","2"
"Ferrous Gluconate","2"
"leflunomide","2"
"Niacin SR","2"
