"drug","patient_count"
"Alteplase 1mg/1mL ( Clearance ie. Temp TLCL )","8"
"Efavirenz","8"
"PrimiDONE","8"
"Doxepin HCl","8"
"Darunavir","8"
"AMP","8"
"Enalaprilat","8"
"Tucks Hemorrhoidal Oint 1%","7"
"Nystatin-Triamcinolone Cream","7"
"Opium Tincture","7"
"Oseltamivir Phosphate","7"
"Oxcarbazepine","7"
"Trace Elements","7"
"DiCYCLOmine","7"
"Naphazoline-Pheniramine Ophth. Solution","7"
"Theophylline SR","7"
"Theophylline ER","7"
"Perphenazine","7"
"Multiple Vitamins Liq.","7"
"Aripiprazole","7"
"Cytarabine","7"
"Tricor","7"
"Modafinil","7"
"Clonidine Patch 0.3 mg/24 hr","7"
"Gentamicin 0.3% Ophth. Soln","7"
"Zoledronic Acid (Zometa)","7"
"Prazosin","7"
"*NF* Ertapenem Sodium","7"
"Xopenex HFA","7"
"Cinacalcet","7"
"cilostazol","7"
"Vitamin A","7"
"Protamine Sulfate","7"
"Bengay","7"
"Benzocaine 20% Spray","7"
"Lacosamide","7"
"Hydroxyurea","7"
"Imipenem-Cilastatin","7"
"Betamethasone Dipro 0.05% Cream","7"
"Acetaminophen w/Codeine Elixir","7"
"Lidocaine 2% P.f.","7"
"INV-Thiamine","7"
"Silver Sulfadiazine 1% Cream","7"
"NS (Syringe)","7"
"Mesalamine","6"
"Iron Polysaccharides Complex","6"
"Levetiracetam","6"
"Vitamin B Complex w/C","6"
"olmesartan","6"
"alectinib","6"
"Acyclovir Ointment 5%","6"
"Bottle","6"
"Chlorothiazide","6"
"Esomeprazole sodium","6"
"Sodium Zirconium Cyclosilicate","6"
"Methylprednisolone","6"
"Levalbuterol HCl","6"
"Syringe (PCA)","6"
"Penicillin G Potassium","6"
"CycloSPORINE (Neoral) MODIFIED","6"
"Morphine ","6"
"guaiFENesin","6"
"Bicitra","6"
"LamiVUDine","6"
"Hemorrhoidal Suppository","6"
"Amino Acids 4.25% W/ Dextrose 5%","6"
"VinORELbine (Navelbine)","6"
"Ketorolac 0.5% Ophth Soln","6"
"Amphetamine-Dextroamphetamine XR","6"
"CarBAMazepine","6"
"Eptifibatide","6"
"Sirolimus","6"
"Clarithromycin","6"
"Terbinafine 1% Cream","6"
"Vancomycin Enema","6"
"NS (Irrigation Bottle)","6"
"Ferrous Gluconate","6"
"Miralax","5"
"benazepril","5"
"irbesartan","5"
"COVID-19 Vaccine (Moderna)","5"
"Hydrocodone-Acetaminophen (5mg-500mg","5"
"AzaTHIOprine","5"
"Acetylcysteine Inhaled - For interventional pulmonary use only","5"
"Syringe (NS)","5"
"Phenaseptic Throat Spray","5"
"Posaconazole Delayed Release Tablet","5"
"Epidural Infusion Bag in NS","5"
"Paricalcitol","5"
"Cromolyn Sodium (Nasal Inhalation)","5"
"Dronedarone","5"
"Ferrous Sulfate (Liquid)","5"
"Methadone (Oral Solution)  2 mg/1 mL","5"
"leflunomide","5"
"Magnesium Sulfate (Latex Free)","5"
"Trelegy Ellipta","5"
"Provigil","5"
"CELECOXIB","5"
"Fentanyl PCA","5"
"Fosfomycin Tromethamine","5"
"Trace Elements (Tralement)","5"
"Lumigan","5"
"Nystatin Ointment","5"
"Lubiprostone","5"
"Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*","5"
"Ciprofloxacin","5"
"Pyrazinamide","5"
"MethylPREDNISolone Na Suc","5"
"Thyroid","5"
"Aminocaproic Acid","5"
"Buprenorphine-Naloxone Film (8mg-2mg)","5"
"0.9 % Sodium Chloride","5"
"Abacavir Sulfate","5"
"Amikacin","5"
"Methylphenidate SR","5"
"Epoetin alfa-epbx (Retacrit)","5"
"Fluticasone-Salmeterol (100/50)","5"
"0.82% Sodium Chloride","5"
"Clopidogrel Bisulfate","5"
"Irinotecan","5"
"Sulfameth/Trimethoprim","5"
"Bevacizumab (Avastin)","5"
"gefitinib","5"
"MetronidAZOLE Topical 1 % Gel","5"
"Syringe (Intrapleural)","5"
"Doxercalciferol","5"
"GuaiFENesin-Dextromethorphan (Sugar Free)","5"
"Empagliflozin","5"
"Advair Diskus","5"
"Brimonidine Tartrate 0.2% Ophth.","4"
"SulfaSALAzine_","4"
"Avodart","4"
"Bictegrav-Emtricit-Tenofov Ala","4"
"Acetylcysteine (IV)","4"
"VinCRIStine (Oncovin)","4"
"Sevelamer","4"
"acetylcysteine","4"
"DOXOrubicin","4"
"umeclidinium-vilanteroL","4"
"Morphine Sulfate ","4"
